Krupanidhi School of Management,1852,713,12.915169044,77.723292348,University,College & University
"Little Flower Public School, Bangalore",0,14,12.9317,77.5414,Landmark,High School,Landmark
Delhi Public School Bangalore North Sports Day,79,2231,12.9833,77.5833,Sports Event,Sports & Recreation
Kannada Language Learning School,49,3623,12.9357004,77.6283875,Education,Language School,High School,Education
Riders Driving School Bangalore,9,629,12.93462,77.56919,Business Service,Driving School,Business Service
"Hello KIDS PLAY School, Bangalore",45,591,13.01194341,77.69664171,School,School,School
School jokes,18,10693,13.0004274,77.6069088,School,School,School
IZee Business School,255,23523,12.8680201,77.6511412,Education,College & University,Education
"IISc 4th Undergraduate Summer School on Computer Science, 2016",27,1998,13.01744,77.56797,Education,Education,Education
The Little School,66,301,12.9803896,77.637207,School,Day Care,School,High School
"St.Philomenas English School,SARJAPUR",18,90,12.87206,77.78705,School,School,School
Whitefield Global School,679,1222,12.98154334,77.7572358075,School,Junior High School,Elementary School,Middle School
Isaac Newton English School,19,607,12.96885,77.56971,School,Day Care,High School,Middle School
Blossoms School,9,225,12.95809,77.7204299,School,School,School
Nitte International School,82,931,13.09899,77.57545,Education,High School,Education
ICFAI Business school. Bangalore,10,41,12.93512,77.69035,Organization,Organization
Nitte School of Management,2990,2050,13.127920861429,77.587935052857,Education,Technical Institute,Education
Baldwin Boys' High School,1281,2481,12.9628,77.6059,Local Business,High School,School
"St. Paul's English School, Bangalore",7,365,12.9148902154,77.5970402996,School,School,School
"School of Law, Christ University",2142,2180,12.93475833,77.60600556,University,College & University
Indus International School Bangalore,2825,298,12.83453,77.77887,Local Business,High School
Jain International Residential School. Bangalore,2321,352,12.639857983471,77.44317997449,Local Business,Organization,High School,Arts & Entertainment
Global School of Media Arts & Communication,0,231,13.06434,77.64854,Education,Education
Canadian International School,826,2235,13.115467166423,77.606863975525,School,School,School
Pearson Schools India,268,12566,12.9833,77.5833,Education,Education,Education
Indus International School Bangalore,73,22,12.8858599,77.7444,Education,Education
BGS School Of Architecture & Planning,1622,3110,12.84968274181,77.463034456668,Education,Educational Organization,Architect,Technical Institute
Design School,0,118,13.02447,77.5958799,Education,Education
National School of Business,40,1677,12.9143899,77.58707,Education,College & University,Education
V School,30,968,13.01015,77.5823135,School,High School,Preschool,School
Dream Zone School of Creative Studies- Sadashivanagar,46,4083,13.028020184251,77.554880899353,Education,Educational Service,Education
Orchids The International School- BTM Layout,62,892,12.9000299,77.5983,Education,Education,Education
The Montessori School,39,315,12.90514289,77.58463122,Education,Organization,Education,Education
"Symbiosis School of Media & Communication, Bengaluru",3081,5109,12.8413080425,77.66853948375,Education,College & University,Education
Kidoz School,33,928,12.92869,77.566803,School,Elementary School,School
Royal Concorde International School,196,1852,13.01822,77.64251,School,School
Mallya Aditi International School,2562,1403,13.1022222222,77.5830555556,School,High School
Chitrakoota School,90,669,12.94155,77.46731,School,Elementary School,Educational Organization,School
Alpine Public School,303,2902,12.89380542,77.562739295,School,High School,School
Inspiro School of Civil Services,247,806,12.9673901,77.53405,Education,Education,Education
SamSidh Group Of Schools,48,6326,12.890885,77.637946,Education,School,Education
Orchids The International School- Nagarbhavi,35,1058,12.95814,77.51876,Education,Education,Education
Daffodils English School,198,1179,13.0348254,77.5790804,School,School,School
Natyalaya School of Dance and Music,38,983,12.9074202,77.5923462,School,School,School,Dance Instruction
Drishti School of Photography,647,1651,13.048872785831,77.603995924759,School,Photographic Services & Equipment,Art School,School
Srishti School of Art Design and Technology,2653,4985,13.1017,77.5836,University,Technical Institute
"National Public School, Indiranagar",356,433,12.96958333,77.64677778,Landmark,High School,School
RVM School Of Inspiration,5,3180,12.9833,77.5833,Non-Profit Organization,Non-Profit Organization
Seventh Day Adventist High School(1982-87),788,1366,12.99531,77.61139,Local Business,High School
Bangalore International School,0,0,13.01537,77.6289,Local Business,Local Business
Akash International School,868,575,12.9833,77.5833,School,Junior High School,School
Jubilee School,354,1164,13.017582360711,77.503681358737,Education,Educational Organization,High School,School
Bishop Cotton Girls' School,4895,6545,12.9704,77.6014,Local Business,High School,School
Oasis International School,226,1475,13.06411,77.71818,School,School,School
IBMR Business School,696,630,12.947410063646,77.599491611777,Education,Education,Education
Innisfree House School,104,484,12.91096389,77.58723611,Landmark,School,Landmark
"ST JOHNS HIGH SCHOOL,Papareddy Palya",48,454,12.9742298,77.6237335,School,School,High School
St. Germain High School,1040,851,12.9936,77.6105,Local Business,High School,School
"National Law School Of India University, Bangalore",984,105,12.95536196202,77.517736270017,Local Business,Educational Organization,Technical Institute
BMSB 13th Batch - Baroda Manipal School of Banking 2014-15,35,804,12.873485226793,77.642476785057,Bank/Financial Institution,Educational Organization,Commercial Bank,Bank/Financial Institution
"Arthakul |Finance Club, WeSchool Bangalore|",0,359,12.89685,77.60029,Education,Education,Education
"Cambridge School, K.R Puram",409,939,12.9833,77.5833,School,High School,School
"National Public School, Koramangala",1592,371,12.9492,77.6208,School,High School
Orchids The International School- Mysore Road,36,1080,12.94329,77.52612,Education,Education,Education
Jain Heritage School,131,1719,13.04778,77.60107,School,School,School
Prasiddhi School,32,424,12.99703,77.58726,School,School,School
